"brand_id","brand_name","brand_display_name","brand_country","brand_segment","search_keywords"
"brand_07","Hyundai","Hyundai Motor","South Korea","General","[hyundai]"
"brand_05","BMW","BMW Group","Germany","Luxury","[bmw]"
"brand_01","VinFast","VinFast Auto","Vietnam","EV","[vinfast, vfs, vf3, vf5, vf6, vf7, vf8, vf9]"
"brand_02","Tesla","Tesla, Inc.","USA","EV","[tesla]"
"brand_06","Mercedes","Mercedes-Benz","Germany","Luxury","[mercedes]"
"brand_08","Ford","Ford Motor Co.","USA","General","[ford]"
"brand_09","Porsche","Porsche AG","Germany","Luxury","[porsche]"
"brand_10","Volkswagen","Volkswagen AG","Germany","General","[volkswagen, vw]"
"brand_03","BYD","BYD Auto Co.","China","EV","[byd]"
"brand_04","Toyota","Toyota Motor","Japan","Hybrid","[toyota]"
